URL_ID,URL,Positive Score,Negative Score,Polarity Score,Subjectivity Score,Avg Sentence Length,Percentage of Complex Words,Fog Index,Avg Number of Words Per Sentence,Complex Word Count,Word Count,Syllable Per Word,Personal Pronouns,Avg Word Length
blackassign0050.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,43,-69,-4.308,-0.018,24.466666666666665,0.20095367847411444,9.867048138056312,24.466666666666665,295,1468,1.7459128065395095,4,5.30449591280654
blackassign0051.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,29,-15,3.143,0.016,25.0,0.2235294117647059,10.089411764705883,25.0,190,850,1.8058823529411765,7,5.36
blackassign0052.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,73,-38,3.171,0.018,17.034782608695654,0.19040326697294538,6.89007435026744,17.034782608695654,373,1959,1.701888718734048,12,5.062276671771312
blackassign0053.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,61,-4,1.14,0.071,19.536585365853657,0.22846441947565543,7.906019914131726,19.536585365853657,183,801,1.8888888888888888,6,5.50561797752809
blackassign0054.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,17,-1,1.125,0.029,27.3,0.19413919413919414,10.997655677655679,27.3,106,546,1.8095238095238095,2,5.448717948717949
blackassign0055.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,33,-9,1.75,0.025,24.375,0.18051282051282053,9.822205128205129,24.375,176,975,1.725128205128205,5,5.154871794871795
blackassign0056.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,22,-9,2.385,0.021,26.375,0.25434439178515006,10.651737756714061,26.375,161,633,1.9273301737756714,3,5.674565560821485
blackassign0057.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,26,-10,2.25,0.028,18.29032258064516,0.21516754850088182,7.402196051658418,18.29032258064516,122,567,1.8571428571428572,2,5.574955908289241
blackassign0058.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,14,-1,1.154,0.038,24.214285714285715,0.26843657817109146,9.793088916982724,24.214285714285715,91,339,2.088495575221239,3,6.056047197640118
blackassign0059.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,32,-38,-11.667,-0.006,15.966666666666667,0.16805845511482254,6.453890048712596,15.966666666666667,161,958,1.6805845511482256,21,5.026096033402923
blackassign0060.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,16,-3,1.462,0.036,25.928571428571427,0.22589531680440772,10.461786698150334,25.928571428571427,82,363,1.9173553719008265,3,5.661157024793388
blackassign0061.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,50,-11,1.564,0.045,24.11111111111111,0.2350230414746544,9.738453661034306,24.11111111111111,204,868,1.9435483870967742,2,5.868663594470046
blackassign0062.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,11,-8,6.333,0.009,34.9,0.24068767908309455,14.056275071633237,34.9,84,349,1.8624641833810889,6,5.515759312320917
blackassign0063.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,16,-26,-4.2,-0.018,20.666666666666668,0.2132616487455197,8.351971326164875,20.666666666666668,119,558,1.7831541218637992,8,5.229390681003585
blackassign0064.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,41,-50,-10.111,-0.005,23.0126582278481,0.24532453245324531,9.303193104120538,23.0126582278481,446,1818,1.8536853685368537,18,5.476347634763476
blackassign0065.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,67,-23,2.045,0.024,24.60810810810811,0.16749038989566173,9.910239399201508,24.60810810810811,305,1821,1.6474464579901154,22,4.962657880285557
blackassign0066.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,49,-24,2.92,0.017,17.209302325581394,0.1837837837837838,6.957234443746072,17.209302325581394,272,1480,1.6871621621621622,20,5.085810810810811
blackassign0067.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,33,-8,1.64,0.026,14.17910447761194,0.17578947368421052,5.74195758051846,14.17910447761194,167,950,1.7031578947368422,3,5.04
blackassign0068.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,57,-9,1.375,0.031,22.544117647058822,0.16046966731898238,9.081834925751123,22.544117647058822,246,1533,1.5805609915198957,6,4.756033920417482
blackassign0069.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,42,-7,1.4,0.055,31.8,0.2248427672955975,12.80993710691824,31.8,143,636,1.7672955974842768,9,5.205974842767295
blackassign0070.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,52,-17,1.971,0.022,21.675675675675677,0.21384039900249377,8.755806429871269,21.675675675675677,343,1604,1.7967581047381547,10,5.35785536159601
blackassign0071.txt,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,41,-71,-3.733,-0.026,14.024691358024691,0.15933098591549297,5.673608937576073,14.024691358024691,181,1136,1.6663732394366197,13,4.941021126760563
